state,month,year,dem_percentage,gop_percentage,winner,margin
GA,Sep,2020,46.0,48.0,R,2.0
GA,Sep,2020,47.0,46.0,D,1.0
GA,Sep,2020,47.0,46.0,D,1.0
GA,Aug,2020,41.0,48.0,R,7.0
GA,Aug,2020,49.0,49.0,E,0.0
GA,Aug,2020,49.0,46.0,D,3.0
GA,Aug,2020,52.0,46.0,D,6.0
GA,Aug,2020,47.0,46.0,D,1.0
GA,Aug,2020,46.0,47.0,R,1.0
GA,Aug,2020,45.0,48.0,R,3.0
GA,Aug,2020,46.0,44.0,D,2.0
GA,Jul,2020,46.0,45.0,D,1.0
GA,Jul,2020,44.0,40.0,D,4.0
GA,Jul,2020,45.0,53.0,R,8.0
GA,Jul,2020,47.0,47.0,E,0.0
GA,Jul,2020,47.0,48.0,R,1.0
GA,Jul,2020,46.0,49.0,R,3.0
GA,Jul,2020,47.0,46.0,D,1.0
GA,Jul,2020,46.0,45.0,D,1.0
GA,Jul,2020,43.0,50.0,R,7.0
GA,Jul,2020,46.0,49.0,R,3.0
GA,Jul,2020,47.0,43.0,D,4.0
GA,Jul,2020,45.0,48.0,R,3.0
GA,Jun,2020,49.0,49.0,E,0.0
GA,Jun,2020,49.0,45.0,D,4.0
GA,Jun,2020,47.0,45.0,D,2.0
GA,Jun,2020,48.0,46.0,D,2.0
GA,May,2020,40.0,44.0,R,4.0
GA,May,2020,47.0,49.0,R,2.0
GA,May,2020,48.0,47.0,D,1.0
GA,May,2020,47.0,47.0,E,0.0
GA,May,2020,46.0,48.0,R,2.0
GA,May,2020,47.0,46.0,D,1.0
GA,Apr,2020,44.0,45.0,R,1.0
GA,Apr,2020,46.0,48.0,R,2.0
GA,Mar,2020,47.0,49.0,R,2.0
GA,Mar,2020,43.0,51.0,R,8.0
GA,Dec,2019,44.0,51.0,R,7.0
GA,Nov,2019,47.0,43.0,D,4.0
GA,Nov,2019,48.0,47.0,D,1.0
GA,Nov,2019,51.0,43.0,D,8.0
GA,Oct,2019,46.0,44.0,D,2.0
